sampledate,depth,o2,deck,light,frlight,avsnow,totice,whiteice,extcoef
9/22/81,9,,,34,,,,,
9/22/81,10,,,29,,,,,
9/22/81,11,,,18.5,,,,,
9/22/81,12,,,12.9,,,,,
9/22/81,13,,,8.9,,,,,
9/22/81,14,,,4.9,,,,,
9/22/81,15,,,2.7,,,,,
9/22/81,16,,,1.9,,,,,
9/22/81,17,,,1,,,,,
9/22/81,18,,,0.5,,,,,
9/22/81,19,,,0.2,,,,,
10/19/81,0,9.7,133,82,0.617,,,,
10/19/81,1,9.7,,32,,,,,
10/19/81,2,9.7,,29.2,,,,,
10/19/81,3,9.6,,18.7,,,,,
10/19/81,4,9.7,,14.2,,,,,
10/19/81,5,9.6,,9.8,,,,,
10/19/81,6,9.6,,6.9,,,,,
10/19/81,7,9.6,,5,,,,,
10/19/81,8,9.5,,3.8,,,,,
10/19/81,9,9.5,,2.9,,,,,
10/19/81,10,9.5,,2.5,,,,,
10/19/81,11,9.4,,2.1,,,,,
10/19/81,12,9.4,,1.9,,,,,
10/19/81,13,9.3,,1.7,,,,,
10/19/81,14,6.2,,1.7,,,,,
10/19/81,15,2,,1.2,,,,,
10/19/81,16,0.3,,0.9,,,,,
10/19/81,17,0.2,,0.9,,,,,
10/19/81,18,0.2,,0.8,,,,,
10/19/81,18.5,0.2,,0.8,,,,,
12/2/81,0,11.7,95,65,0.684,,,,
12/2/81,1,11.7,,24,,,,,
12/2/81,2,11.7,,19.8,,,,,
12/2/81,3,11.6,,15.3,,,,,
12/2/81,4,11.5,,9.6,,,,,
12/2/81,5,11.5,,6.6,,,,,
12/2/81,6,11.5,,4.4,,,,,
12/2/81,7,11.6,,2.9,,,,,
12/2/81,8,11.8,,1.9,,,,,
12/2/81,9,11.9,,1.2,,,,,
12/2/81,10,12.1,,0.8,,,,,
12/2/81,11,12.2,,0.5,,,,,
12/2/81,12,12.4,,0.3,,,,,
12/2/81,13,12.5,,0.2,,,,,
12/2/81,14,12.7,,0.2,,,,,
