lakeid,year4,sampledate,depth,chlor
SP,2001,5/14/01,0,1.9
SP,2001,5/29/01,0,0.5
SP,2001,6/11/01,0,1.7
SP,2001,6/26/01,0,1.1
SP,2001,7/9/01,0,0.7
SP,2001,7/24/01,0,0.9
SP,2001,8/6/01,0,0.7
SP,2001,8/20/01,0,1
SP,2001,9/4/01,0,1.1
SP,2001,9/18/01,0,1.4
SP,2001,10/2/01,0,0.9
SP,2001,10/15/01,0,2
SP,2001,10/29/01,0,2.4
SP,2001,11/15/01,0,3.2
SP,2002,1/16/02,0,0.3
SP,2002,2/28/02,0,-0.1
SP,2002,2/28/02,15,0
SP,2002,4/1/02,0,4.1
SP,2002,4/23/02,0,2.9
SP,2002,5/7/02,0,5.3
SP,2002,5/7/02,3,5.9
SP,2002,5/7/02,5,6.8
SP,2002,5/7/02,8,4.7
SP,2002,5/7/02,10,5.2
SP,2002,5/7/02,12,4.8
SP,2002,5/7/02,12,7.8
SP,2002,5/7/02,15,4.6
SP,2002,5/7/02,18,7.8
SP,2002,5/22/02,0,8.5
SP,2002,5/22/02,3,4.6
SP,2002,5/22/02,5,4.2
SP,2002,5/22/02,8,4.6
SP,2002,5/22/02,10,6.7
SP,2002,5/22/02,10,3.4
SP,2002,5/22/02,12,8.3
SP,2002,5/22/02,15,6.9
SP,2002,5/22/02,18,6.9
SP,2002,6/5/02,0,0.7
SP,2002,6/5/02,3,2
SP,2002,6/5/02,5,3.2
SP,2002,6/5/02,8,7.4
SP,2002,6/5/02,8,6.4
SP,2002,6/5/02,10,10.2
SP,2002,6/5/02,12,11.2
SP,2002,6/5/02,15,6.5
SP,2002,6/5/02,18,4.7
SP,2002,6/19/02,0,1.1
SP,2002,6/19/02,3,0.5
SP,2002,6/19/02,5,0.8
SP,2002,6/19/02,8,2.9
SP,2002,6/19/02,10,4.1
SP,2002,6/19/02,12,12.7
SP,2002,6/19/02,15,3.7
SP,2002,6/19/02,15,7
SP,2002,6/19/02,18,2.5
SP,2002,7/3/02,0,0.6
SP,2002,7/3/02,3,1.9
SP,2002,7/3/02,5,1.4
SP,2002,7/3/02,8,1.6
SP,2002,7/3/02,10,2.9
SP,2002,7/3/02,12,4.2
SP,2002,7/3/02,15,5.1
SP,2002,7/3/02,15,5.4
SP,2002,7/3/02,18,3.1
