lakeid,sampledate,depth,deck,light,avsnow,totice,whiteice,blueice,surflite
TR,3/2/82,0,NA,NA,9.5,60,17,43,NA
TR,3/2/15,0,1398,44.24,3.2,65,21,44,0.031645207
TR,3/2/15,0,NA,NA,3.2,65,21,44,NA
TR,3/1/16,0,1540,85.33,0.2,43,8,35,0.055409091
TR,3/1/16,0,NA,NA,0.2,43,8,35,NA
TR,3/3/05,0,1249,7.51,13.9,56,8,48,0.00601281
TR,3/4/86,0,1650,11.4,23.2,47,7,40,0.006909091
TR,3/3/88,0,1270,79.5,4.1,65,60,5,0.062598425
TR,3/3/88,0,NA,NA,4.1,65,60,5,NA
TR,3/3/88,0,NA,NA,4.1,65,60,5,NA
TR,3/4/92,0,850,32.38,15.2,42,6,36,0.038094118
TR,3/11/03,0,1455,19.44,19.6,62,0,62,0.013360825
TR,3/17/11,0,548,272.8,0,52,6,46,0.497810219
TR,3/20/98,0,1205,25.11,6.5,30,8,22,0.020838174
TR,3/21/95,0,770,32.15,5,38.5,38.5,0,0.041753247
TR,3/22/93,0,NA,NA,7.2,63,13,50,NA
TR,3/22/17,0,NA,NA,0,44,3,41,NA
TR,3/23/09,0,363,142.86,0,51,0,51,0.393553719
TR,3/25/85,0,1470,155,3.7,58,15,43,0.105442177
TR,3/26/87,0,435,305,0,35,35,0,0.701149425
TR,3/25/92,0,1497,314.7,3.1,49,12,37,0.210220441
TR,3/25/92,0,NA,NA,3.1,49,12,37,NA
TR,3/26/99,0,1432,224,0.3,53,17,36,0.156424581
TR,3/26/99,0,NA,NA,0.3,53,17,36,NA
TR,3/26/14,0,1344,5.48,9.5,77,19,58,0.004077381
TR,3/26/14,0,NA,NA,9.5,77,19,58,NA
TR,3/27/15,0,1919,89.36,4.7,49,4,45,0.04656592
TR,3/28/89,0,615,218,NA,61,8,53,0.354471545
TR,3/28/13,0,964,14.91,8.3,61,15,46,0.015466805
TR,3/29/83,0,NA,NA,9.2,39,8,31,NA
TR,3/29/07,0,796,469.82,0,41,0,41,0.590226131
TR,3/29/07,0,NA,NA,0,41,0,41,NA
TR,3/28/08,0,1227,30.84,8.2,61,8,53,0.025134474
TR,3/30/90,0,NA,NA,0,41,7,34,NA
TR,3/30/04,0,417,130.9,0,52,12,40,0.313908873
TR,4/1/91,0,1559,84.3,1.3,48,3,45,0.054073124
TR,4/3/86,0,340,255,0,33,0,33,0.75
TR,4/2/96,0,862,0.04,22.5,66,26,40,4.64E-05
TR,4/3/02,0,849,9.35,12.3,61,23,38,0.011012956
TR,4/3/03,0,108,4.6,5.7,58,1,57,0.042592593
TR,4/4/94,0,404,8.31,7.7,44,4,40,0.020569307
TR,4/5/05,0,1364,980.97,0,43,3,40,0.719186217
TR,4/5/06,0,1624,760.55,0,32,8,24,0.468318966
TR,4/5/06,0,NA,NA,0,32,8,24,NA
TR,4/6/82,0,NA,NA,2.2,62.5,11,51.5,NA
TR,4/6/01,0,933,125.5,1,47,24,23,0.134512326
TR,4/7/88,0,1160,525,0,46,46,0,0.452586207
TR,4/9/97,0,1224,336.4,0.1,41,11,30,0.274836601
TR,4/9/97,0,NA,NA,0.1,41,11,30,NA
TR,4/11/84,0,NA,NA,0,50,4,46,NA
TR,4/12/85,0,NA,NA,0,NA,NA,NA,NA
