lakeid,year4,sampledate,depth,ph,alk,dic,tic,doc,toc,no2,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm
SP,1997,1/14/97,0,7.47,,9.01,9.09,3.39,3.4,,216,252,2,10,2646,3422,3280,
SP,1997,2/17/97,0,7.24,640,8.89,8.97,3.65,3.62,,262,309,3,4,2589,3245,3210,
SP,1997,3/25/97,0,7.36,,9.45,9.57,3.54,3.42,,286,366,2,11,2703,3351,3422,
SP,1997,5/6/97,0,7.54,617,8.5,8.72,3.12,3.28,,160,222,0,22,2777,3432,3616,1.08
SP,1997,5/21/97,0,,,,,,,,,,,,,,,
SP,1997,6/4/97,0,7.86,,8.1,8.14,3.24,3.17,,159,154,3,4,3009,2417,4304,0.29
SP,1997,6/18/97,0,,,,,,,,,,,,,,,
SP,1997,7/1/97,0,8.05,,7.91,7.97,3.51,3.51,,92,115,0,2,2603,2614,2702,0.48
SP,1997,7/17/97,0,,,,,,,,,,,,,,,
SP,1997,7/29/97,0,8.07,,7.8,,3.5,,,144,159,0,1,2429,2481,2392,0.22
SP,1997,8/13/97,0,,,,,,,,,,,,,,,
SP,1997,8/28/97,0,8.21,598,7.85,7.96,3.59,3.71,,92,96,1,3,2242,2231,2231,0.3
SP,1997,9/9/97,0,,,,,,,,,,,,,,,
SP,1997,9/24/97,0,8.01,,8.07,8.14,3.54,3.54,,167,152,4,6,2436,2231,2319,0.91
SP,1997,10/7/97,0,,,,,,,,,,,,,,,
SP,1997,10/24/97,0,7.63,,8.22,8.37,3.39,3.39,,161,198,3,6,2637,2303,2303,0.15
SP,1997,11/10/97,0,7.39,641,8.58,8.74,3.29,3.5,,43,40,3,9,2757,2601,2552,0.71
SP,1998,1/12/98,0,7.97,,10,10.79,3.92,4.04,,253,292,5,16,3103,3229,3319,
SP,1998,2/23/98,0,7.92,674,8.14,8.26,3.3,3.27,,311,276,5,6,2871,2626,2580,
SP,1998,3/18/98,0,8.58,,8.27,8.59,3.77,3.76,,398,403,13,15,2755,2714,2714,1.06
SP,1998,4/20/98,0,7.67,617,8.25,8.51,3.34,3.07,,234,270,4,10,2580,2448,2448,1.06
SP,1998,5/5/98,0,,,,,,,,,,,,,,,
SP,1998,5/19/98,0,8.11,,7.99,8.16,3.18,3.19,,195,205,2,4,2522,2710,2710,0.63
SP,1998,6/1/98,0,,,,,,,,,,,,,,,
SP,1998,6/15/98,0,8.06,,7.98,8.35,3.27,4.23,,168,168,0,3,2396,2635,2560,0.26
SP,1998,6/29/98,0,,,,,,,,,,,,,,,
SP,1998,7/14/98,0,8.12,,8.06,8.21,3.47,3.37,,130,142,1,3,2300,2478,2563,0.19
SP,1998,7/27/98,0,,,,,,,,,,,,,,,
SP,1998,8/12/98,0,8.2,625,8.25,8.26,3.53,3.53,,171,210,2,3,2156,1965,2393,0.35
SP,1998,8/12/98,0,7.95,622,8.26,8.29,3.56,3.55,,156,190,1,3,2731,2478,2393,0.3
SP,1998,8/26/98,0,,,,,,,,,,,,,,,
SP,1998,9/9/98,0,8.18,,8.48,8.55,3.68,3.77,,151,165,0,2,2315,2479,2479,0.48
SP,1998,9/24/98,0,,,,,,,,,,,,,,,
SP,1998,10/6/98,0,7.92,,8.32,8.4,3.42,3.62,,166,184,2,4,2282,2238,2455,0.27
SP,1998,10/6/98,0,7.91,,8.28,8.3,3.52,3.44,,160,201,2,4,2282,2455,2816,0.3
SP,1998,10/20/98,0,,,,,,,,,,,,,,,
