,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
61,Segmented green,,,,,,,,,,,,,,,
62,Cf. Placoneis,,,,,,,,,,,,,,,
63,Gomphonema,,,,,,,,,,,,,,,
64,Hydrococcus,,,,,,,,,,,,,,,
65,Actinastrum falcatus,,,,,,,,,,,,,,,
66,Cyclostephanos,,,,,,,,,,,,,,,
67,unID Cocconeis,,,,,,,,,,,,,,,
68,Coleosphaerum,,,,,,,,,,,,,,,
69,Mallomonas (colony),,,,,,,,,,,,,,,
70,Synura,,,,,,,,,,,,,,,
71,Nitzschia,,,,,,,,,,,,,,,
72,Cyclotella meneghiniana,,,,,,,,,,,,,,,
73,Fragillaria,,,,,,,,,,,,,,,
74,Mallomonas,,,,,,,,,,,,,,,
75,Stephanodiscus niagare,,,,,,,,,,,,,,,
76,Prestauroneis protracta,,,,,,,,,,,,,,,
77,Ulnaria cf. acus,,,,,,,,,,,,,,,
78,Aulacoseira cf. subarctica,,,,,,,,,,,,,,,
79,Aulacoseira cf. ambigua,,,,,,,,,,,,,,,
80,Fragilaria tenera,,,,,,,,,,,,,,,
81,Aulacoseira cf. islandica,,,,,,,,,,,,,,,
82,Closteriopsis longissima,,,,,,,,,,,,,,,
83,Karayevia,,,,,,,,,,,,,,,
84,Discostella,,,,,,,,,,,,,,,
85,Cymbella,,,,,,,,,,,,,,,
86,Eunota,,,,,,,,,,,,,,,
87,Staurastrum,,,,,,,,,,,,,,,
88,Gomphoneis,,,,,,,,,,,,,,,
89,Chrysosphaerella,,,,,,,,,,,,,,,
90,Lindavia ,,,,,,,,,,,,,,,
91,Stephanodiscus cf. alpinus,,,,,,,,,,,,,,,
92,Discostella stelligera,,,,,,,,,,,,,,,
93,Hydrococus,,,,,,,,,,,,,,,
94,Uroslenia,,,,,,,,,,,,,,,
95,Cf. Actinocyclus,,,,,,,,,,,,,,,
96,Cf. Anabaena,,,,,,,,,,,,,,,
97,Chroococcus cf. kidneys,,,,,,,,,,,,,,,
98,unID colonial Cyanobacteria,,,,,,,,,,,,,,,
99,Chroococcus ,,,,,,,,,,,,,,,
100,Cf. Achnanthidium,,,,,,,,,,,,,,,
101,Discotella,,,,,,,,,,,,,,,
102,Cf. Fragilariforma constricta,,,,,,,,,,,,,,,
103,unID Cyanobacteria,,,,,,,,,,,,,,,
104,Thin rod,,,,,,,,,,,,,,,
105,unID cyanobacteria,,,,,,,,,,,,,,,
106,Chroococcus,,,,,,,,,,,,,,,
107,Cf. Chlorallantus oblongus,,,,,,,,,,,,,,,
108,Cf. Tetraedron victoriae,,,,,,,,,,,,,,,
109,Eunotia,,,,,,,,,,,,,,,
110,Cf. Eutrepita globulifera,,,,,,,,,,,,,,,
111,Cf. Rossithidium linearis,,,,,,,,,,,,,,,
112,Merismopedia,,,,,,,,,,,,,,,
113,Planktolyngabia,,,,,,,,,,,,,,,
114,Elakatothrix,,,,,,,,,,,,,,,
115,Mallomonas colony,,,,,,,,,,,,,,,
116,Ceratium,,,,,,,,,,,,,,,
