lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice,iceduration 
TR,2,1984,116,4/25/84,117,4/26/84,349,12/14/84,353,12/18/84,
TR,2,1985,113,4/23/85,114,4/24/85,337,12/3/85,338,12/4/85,
TR,2,1986,104,4/14/86,105,4/15/86,340,12/6/86,341,12/7/86,
TR,2,1987,105,4/15/87,106,4/16/87,355,12/21/87,356,12/22/87,
TR,2,1988,117,4/26/88,118,4/27/88,345,12/10/88,347,12/12/88,
TR,2,1989,122,5/2/89,123,5/3/89,334,11/30/89,335,12/1/89,
TR,2,1990,110,4/20/90,113,4/23/90,347,12/13/90,348,12/14/90,
TR,2,1991,115,4/25/91,116,4/26/91,333,11/29/91,336,12/2/91,
TR,2,1992,120,4/29/92,121,4/30/92,342,12/7/92,344,12/9/92,
TR,2,1993,126,5/6/93,127,5/7/93,331,11/27/93,334,11/30/93,
TR,2,1994,112,4/22/94,115,4/25/94,343,12/9/94,346,12/12/94,
TR,2,1995,120,4/30/95,122,5/2/95,331,11/27/95,333,11/29/95,
TR,2,1996,137,5/16/96,138,5/17/96,331,11/26/96,332,11/27/96,
TR,2,1997,120,4/30/97,121,5/1/97,353,12/19/97,356,12/22/97,
TR,2,1998,100,4/10/98,101,4/11/98,359,12/25/98,362,12/28/98,
TR,2,1999,112,4/22/99,113,4/23/99,351,12/17/99,354,12/20/99,
TR,2,2000,96,4/5/00,98,4/7/00,341,12/6/00,342,12/7/00,
TR,2,2001,112,4/22/01,113,4/23/01,363,12/29/01,365,12/31/01,
TR,2,2002,113,4/23/02,114,4/24/02,336,12/2/02,337,12/3/02,
TR,2,2003,117,4/27/03,118,4/28/03,335,12/1/03,337,12/3/03,
TR,2,2004,110,4/19/04,112,4/21/04,351,12/16/04,352,12/17/04,
TR,2,2005,105,4/15/05,106,4/16/05,341,12/7/05,342,12/8/05,
TR,2,2006,104,4/14/06,106,4/16/06,357,12/23/06,360,12/26/06,
TR,2,2007,111,4/21/07,112,4/22/07,341,12/7/07,344,12/10/07,
TR,2,2008,123,5/2/08,126,5/5/08,340,12/5/08,343,12/8/08,
TR,2,2009,116,4/26/09,117,4/27/09,350,12/16/09,351,12/17/09,
TR,2,2010,91,4/1/10,92,4/2/10,342,12/8/10,343,12/9/10,
TR,2,2011,119,4/29/11,120,4/30/11,1,1/1/12,3,1/3/12,
TR,2,2012,79,3/19/12,80,3/20/12,354,12/19/12,355,12/20/12,
TR,2,2013,133,5/13/13,134,5/14/13,341,12/7/13,342,12/8/13,
TR,2,2014,128,5/9/14,129,5/10/14,331,11/27/14,332,11/28/14,
TR,2,2015,107,4/17/15,109,4/19/15,3,1/3/16,4,1/4/16,
TR,2,2016,109,4/18/16,110,4/19/16,350,12/15/16,351,12/16/16,
TR,2,2017,104,4/14/17,105,4/15/17,346,12/12/17,348,12/14/17,
TR,2,2018,128,5/8/18,129,5/9/18,,,,,
