"lakeid","sampledate","depth","chlor"
"TB","1991-09-11",0,78.2
"TB","1991-09-11",0,85
"TB","1991-09-24",0,28.4
"TB","1991-09-24",0,29.4
"TB","1991-10-08",0,12.3
"TB","1991-10-28",0,29
"TB","1991-10-28",0,24.5
"TB","1991-11-04",0,12.5
"TB","1991-11-04",0,18.9
"TB","1992-01-15",0,14.2
"TB","1992-02-26",0,2.7
"TB","1992-02-26",0,2
"TB","1992-03-23",0,5.2
"TB","1992-05-04",0,22.2
"TB","1992-05-20",0,8.1
"TB","1992-06-01",0,5.4
"TB","1992-06-15",0,17.6
"TB","1992-07-07",0,9.7
"TB","1992-07-13",0,8
"TB","1992-07-31",0,3.3
"TB","1992-08-10",0,3.5
"TB","1992-08-27",0,14.8
"TB","1992-09-11",0,8.5
"TB","1992-09-24",0,9.6
"TB","1992-10-05",0,6.1
"TB","1992-10-21",0,24.1
"TB","1992-11-05",0,10.6
"TB","1993-01-14",0,26.9
"TB","1993-01-14",0,29.8
"TB","1993-02-24",0,3.3
"TB","1993-02-24",0,5.4
"TB","1993-03-23",0,8.9
"TB","1993-03-23",0,9.6
"TB","1993-05-03",0,26.7
"TB","1993-05-20",0,4.8
"TB","1993-06-03",0,6.7
"TB","1993-06-14",0,7.8
"TB","1993-06-28",0,20.9
"TB","1993-06-28",0,21.5
"TB","1993-07-15",0,25.9
"TB","1993-07-26",0,29.7
"TB","1993-08-09",0,32.9
"TB","1993-08-09",0,36
"TB","1993-08-23",0,14
"TB","1993-09-22",0,130
"TB","1993-10-07",0,22.5
"TB","1993-10-07",0,21.4
"TB","1993-10-19",0,9.9
"TB","1993-11-02",0,12.8
"TB","1994-01-17",0,12.9
"TB","1994-02-24",0,2.4
"TB","1994-03-28",0,16.3
"TB","1994-05-19",0,4.2
"TB","1994-06-15",0,-5.9
"TB","1994-06-15",0,14.9
"TB","1994-06-28",0,7.9
"TB","1994-07-11",0,23.2
"TB","1994-07-11",0,-6.8
"TB","1994-07-25",0,11.1
"TB","1994-07-25",0,22.9
"TB","1994-08-09",0,20.7
"TB","1994-08-22",0,11.2
"TB","1994-08-22",0,21.8
