lakeid,sampledate,depth,chlor
TB,1983-07-19,7.00,2.0
TB,1983-08-03,0.00,1.7
TB,1983-08-03,1.00,24.4
TB,1983-08-03,2.00,37.3
TB,1983-08-03,3.00,9.8
TB,1983-08-03,5.00,24.0
TB,1983-08-03,7.00,1.6
TB,1983-08-17,0.00,45.9
TB,1983-08-17,1.00,14.0
TB,1983-08-17,2.00,31.8
TB,1983-08-17,3.00,54.4
TB,1983-08-17,4.00,9.5
TB,1983-08-17,5.00,6.8
TB,1983-08-17,7.00,3.3
TB,1983-09-08,0.00,29.6
TB,1983-09-08,1.00,4.6
TB,1983-09-08,2.00,20.7
TB,1983-09-08,3.00,39.7
TB,1983-09-08,4.00,9.5
TB,1983-09-08,5.00,18.1
TB,1983-09-08,6.00,2.6
TB,1983-09-08,7.00,5.0
TB,1983-09-28,0.00,38.9
TB,1983-09-28,1.00,15.0
TB,1983-09-28,2.00,5.9
TB,1983-09-28,3.00,10.2
TB,1983-09-28,4.00,0.0
TB,1983-09-28,5.00,15.0
TB,1983-09-28,6.00,4.2
TB,1983-09-28,7.00,12.4
TB,1983-10-19,0.00,40.6
TB,1983-10-19,1.00,9.7
TB,1983-10-19,2.00,7.8
TB,1983-10-19,3.00,2.8
TB,1983-10-19,4.00,7.6
TB,1983-10-19,5.00,7.4
TB,1983-10-19,6.00,14.9
TB,1983-10-19,7.00,11.2
TB,1983-11-14,0.00,5.6
TB,1983-11-14,2.00,5.0
TB,1983-11-14,3.00,4.6
TB,1983-11-14,5.00,5.0
TB,1983-11-14,7.00,4.8
TB,1984-01-03,0.00,7.8
TB,1984-01-03,2.00,2.4
TB,1984-01-03,3.00,2.0
TB,1984-01-03,5.00,5.9
TB,1984-01-03,7.00,1.3
TB,1984-02-28,0.00,23.6
TB,1984-02-28,2.00,1.1
TB,1984-02-28,3.00,3.4
TB,1984-02-28,5.00,0.4
TB,1984-02-28,7.00,1.1
TB,1984-04-04,0.00,51.3
TB,1984-04-04,2.00,18.1
TB,1984-04-04,3.00,6.5
TB,1984-04-04,5.00,1.1
TB,1984-04-04,7.00,0.4
TB,1984-05-08,0.00,23.1
TB,1984-05-08,2.00,11.7
TB,1984-05-08,2.00,10.6
TB,1984-05-08,3.00,8.4
TB,1984-05-08,5.00,10.6
TB,1984-05-08,7.00,4.6
TB,1984-05-22,0.00,10.1
TB,1984-05-22,2.00,12.8
TB,1984-05-22,3.00,10.6
TB,1984-05-22,5.00,9.5
TB,1984-05-22,7.00,3.7
TB,1984-06-04,0.00,5.6
TB,1984-06-04,2.00,14.0
TB,1984-06-04,2.00,4.4
TB,1984-06-04,3.00,17.2
TB,1984-06-04,5.00,2.6
TB,1984-06-04,6.00,7.6
TB,1984-06-04,7.00,2.0
TB,1984-06-19,0.00,2.4
TB,1984-06-19,1.00,17.0
TB,1984-06-19,2.00,14.2
TB,1984-06-19,3.00,15.3
TB,1984-06-19,3.00,17.2
TB,1984-06-19,4.00,2.2
TB,1984-06-19,5.00,1.3
TB,1984-06-19,6.00,7.4
TB,1984-06-19,7.00,2.6
TB,1984-07-02,0.00,5.2
TB,1984-07-02,1.00,48.9
TB,1984-07-02,2.00,21.1
TB,1984-07-02,3.00,11.0
TB,1984-07-02,4.00,5.4
TB,1984-07-02,5.00,5.0
TB,1984-07-02,6.00,10.2
TB,1984-07-02,7.00,3.4
TB,1984-07-02,7.00,2.1
TB,1984-07-17,0.00,24.0
TB,1984-07-17,1.00,11.1
TB,1984-07-17,2.00,59.1
TB,1984-07-17,2.00,54.7
TB,1984-07-17,3.00,9.4
TB,1984-07-17,4.00,5.5
TB,1984-07-17,5.00,3.0
TB,1984-07-17,6.00,4.7
TB,1984-07-17,7.00,5.0
TB,1984-08-01,0.00,29.0
TB,1984-08-01,1.00,21.0
TB,1984-08-01,2.00,82.8
TB,1984-08-01,2.00,104.1
TB,1984-08-01,4.00,11.0
TB,1984-08-01,5.00,4.6
TB,1984-08-01,6.00,5.1
TB,1984-08-01,7.00,2.4
TB,1984-08-15,0.00,1.4
TB,1984-08-15,1.00,28.2
TB,1984-08-15,2.00,37.8
TB,1984-08-15,3.00,6.5
TB,1984-08-15,3.00,5.9
