"x"
"Fragilaria"
"Urosolenia"
""
"Chlamydomonas"
"Monomastix"
"Monoraphidium"
"Oocystis"
"Scenedesmus"
"Tetraedron"
"Kephyrion"
"Cryptomonas"
"Rhodomonas"
"Aphanizomenon"
"Aphanocapsa"
"Aphanothece"
"Chroococcus"
"Dactylococcopsis"
"Merismopedia"
"Pseudanabaena"
"Synechococcus"
"Synechocystis"
"Chrysochromulina"
"Gymnodinium"
"Total"
"Achnanthidium"
"Asterionella"
"Nitzschia"
"Synedra"
"Tabellaria"
"Mucidosphaerium"
"Nannochloris"
"Pyramichlamys"
"Schroederia"
"Chrysolykos"
"Dinobryon"
"Mallomonas"
"Ochromonas"
"Synura"
"Jaaginema"
"Lepocinclis"
"Peridinium"
"Quadrigula"
"Epipyxis"
"Uroglena"
"Cyclotella"
"Epithemia"
"Gonium"
"Chrysosphaerella"
"Cyanonephron"
"Spirulina"
"Sphaerocystis"
"Trachelomonas"
"Cyclostephanos"
"Chrysococcus"
"Rhodospirillum"
"Planktothrix"
"Ulnaria"
"Polygoniochloris"
"Navicula"
"Chroomonas"
"Cosmarium"
"Crucigenia"
"Dolichospermum"
"Cymatopleura"
"Lindavia"
"Cyanogranis"
"Euglena"
"Stephanodiscus"
"Selenastrum"
"Rhabdoderma"
"Snowella"
"Paulschulzia"
"Staurastrum"
"Arthrospira"
"Cymbella"
"Bitrichia"
"Closterium"
"Surirella"
"Chlorogonium"
"Hegewaldia"
"Lobomonas"
"Treubaria"
"Microcystis"
"Ceratium"
"Stichogloea"
"Lagerheimia"
"Planktolyngbya"
"Gloeotrichia"
