lakeid,year4,sampledate,depth,deck,light,frlight
SP,1982,1982-05-12,2.00,630,135.00,0.214000
SP,1982,1982-05-12,4.00,650,71.00,0.109000
SP,1982,1982-05-12,6.00,660,30.00,0.045000
SP,1982,1982-05-12,8.00,620,11.00,0.018000
SP,1982,1982-05-12,10.00,620,4.70,0.008000
SP,1982,1982-05-12,12.00,630,1.85,0.003000
SP,1982,1982-05-12,14.00,650,0.65,0.001000
SP,1982,1982-05-12,16.00,660,0.15,0.000000
SP,1982,1982-05-12,18.00,670,0.00,0.000000
SP,1982,1982-05-27,0.50,,,
SP,1982,1982-05-27,2.00,390,115.00,0.295000
SP,1982,1982-05-27,4.00,370,79.00,0.214000
SP,1982,1982-05-27,6.00,360,44.00,0.122000
SP,1982,1982-05-27,8.00,360,23.50,0.065000
SP,1982,1982-05-27,10.00,350,11.50,0.033000
SP,1982,1982-05-27,12.00,340,9.60,0.028000
SP,1982,1982-05-27,14.00,320,5.70,0.018000
SP,1982,1982-05-27,16.00,255,2.35,0.009000
SP,1982,1982-05-27,18.00,260,2.20,0.008000
SP,1982,1982-06-10,0.00,600,400.00,0.667000
SP,1982,1982-06-10,1.00,2150,900.00,0.419000
SP,1982,1982-06-10,3.00,2100,600.00,0.286000
SP,1982,1982-06-10,5.00,2150,280.00,0.130000
SP,1982,1982-06-10,7.00,2250,200.00,0.089000
SP,1982,1982-06-10,9.00,2250,120.00,0.053000
SP,1982,1982-06-10,11.00,2250,66.00,0.029000
SP,1982,1982-06-10,13.00,2250,28.00,0.012000
SP,1982,1982-06-10,15.00,2400,11.50,0.005000
SP,1982,1982-06-10,17.00,2400,2.80,0.001000
SP,1982,1982-06-23,0.00,710,570.00,0.803000
SP,1982,1982-06-23,1.00,705,375.00,0.532000
SP,1982,1982-06-23,3.00,680,207.00,0.304000
SP,1982,1982-06-23,5.00,645,140.00,0.217000
SP,1982,1982-06-23,7.00,647,87.30,0.135000
SP,1982,1982-06-23,9.00,665,56.00,0.084000
SP,1982,1982-06-23,11.00,695,34.00,0.049000
SP,1982,1982-06-23,13.00,715,20.70,0.029000
SP,1982,1982-06-23,15.00,960,10.20,0.011000
SP,1982,1982-06-23,17.00,1030,3.90,0.004000
SP,1982,1982-07-08,0.00,,,
SP,1982,1982-07-08,1.00,,,
SP,1982,1982-07-08,3.00,,,
SP,1982,1982-07-08,5.00,,,
SP,1982,1982-07-08,7.00,,,
SP,1982,1982-07-08,9.00,,,
SP,1982,1982-07-08,11.00,,,
SP,1982,1982-07-08,13.00,,,
SP,1982,1982-07-08,15.00,,,
SP,1982,1982-07-08,17.00,,,
SP,1982,1982-07-20,0.00,,,
SP,1982,1982-07-20,1.00,,,
SP,1982,1982-07-20,3.00,,,
SP,1982,1982-07-20,5.00,,,
SP,1982,1982-07-20,7.00,,,
SP,1982,1982-07-20,9.00,,,
SP,1982,1982-07-20,11.00,,,
SP,1982,1982-07-20,13.00,,,
SP,1982,1982-07-20,15.00,,,
SP,1982,1982-07-20,17.00,,,
SP,1982,1982-08-02,0.00,,,
SP,1982,1982-08-02,1.00,,,
SP,1982,1982-08-02,3.00,,,
SP,1982,1982-08-02,5.00,,,
SP,1982,1982-08-02,7.00,,,
SP,1982,1982-08-02,9.00,,,
SP,1982,1982-08-02,11.00,,,
SP,1982,1982-08-02,13.00,,,
SP,1982,1982-08-02,15.00,,,
SP,1982,1982-08-02,17.00,,,
SP,1982,1982-08-17,0.00,,1420.00,
SP,1982,1982-08-17,2.00,,705.00,
SP,1982,1982-08-17,4.00,,415.00,
SP,1982,1982-08-17,6.00,,243.00,
SP,1982,1982-08-17,8.00,,133.00,
SP,1982,1982-08-17,10.00,,72.30,
SP,1982,1982-08-17,12.00,,39.00,
SP,1982,1982-08-17,14.00,,14.70,
SP,1982,1982-08-17,16.00,,3.90,
SP,1982,1982-08-17,18.00,,1.30,
SP,1982,1982-09-09,1.00,1350,650.00,0.481000
SP,1982,1982-09-09,3.00,1240,360.00,0.290000
SP,1982,1982-09-09,5.00,1300,210.00,0.162000
SP,1982,1982-09-09,7.00,1210,117.00,0.097000
SP,1982,1982-09-09,9.00,1280,66.50,0.052000
SP,1982,1982-09-09,11.00,1320,36.50,0.028000
SP,1982,1982-09-09,13.00,1270,17.20,0.014000
SP,1982,1982-09-09,15.00,1150,7.33,0.006000
SP,1982,1982-09-09,17.00,1250,1.78,0.001000
SP,1982,1982-09-20,0.00,,,
SP,1982,1982-09-20,2.00,,,
SP,1982,1982-09-20,4.00,,,
SP,1982,1982-09-20,6.00,,,
SP,1982,1982-09-20,8.00,,,
SP,1982,1982-09-20,10.00,,,
SP,1982,1982-09-20,12.00,,,
SP,1982,1982-09-20,14.00,,,
SP,1982,1982-09-20,16.00,,,
SP,1982,1982-09-20,18.00,,,
SP,1982,1982-10-07,0.00,270,190.00,0.704000
SP,1982,1982-10-07,2.00,285,68.00,0.239000
SP,1982,1982-10-07,4.00,240,38.00,0.158000
SP,1982,1982-10-07,6.00,650,71.00,0.109000
SP,1982,1982-10-07,8.00,830,43.00,0.052000
SP,1982,1982-10-07,10.00,510,13.50,0.026000
SP,1982,1982-10-07,12.00,500,9.30,0.019000
SP,1982,1982-10-07,14.00,610,5.80,0.010000
SP,1982,1982-10-07,16.00,610,1.65,0.003000
SP,1982,1982-10-07,18.00,490,0.20,0.000000
SP,1982,1982-10-19,1.00,93,36.00,0.387000
SP,1982,1982-10-19,3.00,94,19.80,0.211000
SP,1982,1982-10-19,5.00,94,12.00,0.128000
SP,1982,1982-10-19,7.00,90,6.70,0.074000
SP,1982,1982-10-19,9.00,86,3.55,0.041000
SP,1982,1982-10-19,11.00,92,2.15,0.023000
SP,1982,1982-10-19,13.00,87,1.18,0.014000
SP,1982,1982-10-19,15.00,87,0.62,0.007000
SP,1982,1982-10-19,17.00,90,0.08,0.001000
SP,1982,1982-11-10,0.00,58,41.00,0.707000
SP,1982,1982-11-10,2.00,52,10.00,0.192000
SP,1982,1982-11-10,4.00,54,5.25,0.097000
SP,1982,1982-11-10,6.00,55,2.55,0.046000
SP,1982,1982-11-10,8.00,57,1.30,0.023000
SP,1982,1982-11-10,10.00,69,0.72,0.010000
SP,1982,1982-11-10,12.00,57,0.27,0.005000
SP,1982,1982-11-10,14.00,55,0.07,0.001000
SP,1982,1982-11-10,16.00,48,0.00,0.000000
SP,1982,1982-11-10,18.00,,,
SP,1982,1982-12-02,1.00,156,43.00,0.276000
SP,1982,1982-12-02,3.00,118,14.80,0.125000
SP,1982,1982-12-02,5.00,131,8.80,0.067000
SP,1982,1982-12-02,7.00,142,4.90,0.035000
SP,1982,1982-12-02,9.00,132,2.13,0.016000
