lakeid,sampledate,depth,chlor.surf
TB,3/20/95,0,7.4
TB,5/16/95,0,3.8
TB,5/16/95,0,3.6
TB,6/1/95,0,3.9
TB,6/13/95,0,13.3
TB,6/28/95,0,9
TB,7/11/95,0,6.6
TB,7/25/95,0,4.1
TB,8/8/95,0,6
TB,8/21/95,0,4.3
TB,9/5/95,0,8.1
TB,9/19/95,0,21.9
TB,10/2/95,0,10.9
TB,10/17/95,0,11.8
TB,11/1/95,0,14.3
TB,11/9/95,0,7.3
TB,1/17/96,0,1.7
TB,2/21/96,0,0.5
TB,4/2/96,0,4.2
TB,5/10/96,0,11.2
TB,5/31/96,0,30
TB,6/12/96,0,5.9
TB,6/24/96,0,80
TB,7/11/96,0,11.4
TB,7/23/96,0,3.7
TB,8/6/96,0,5.2
TB,8/20/96,0,6
TB,9/4/96,0,4.2
TB,9/17/96,0,0.6
TB,10/17/96,0,4.5
TB,11/4/96,0,8.4
TB,1/21/97,0,1.1
TB,2/18/97,0,1.1
TB,3/24/97,0,0.9
TB,5/5/97,0,17.5
TB,5/20/97,0,15.9
TB,6/4/97,0,3.2
TB,6/19/97,0,13.4
TB,7/3/97,0,10.9
TB,7/16/97,0,1.3
TB,7/28/97,0,1.2
TB,8/11/97,0,2.3
TB,8/25/97,0,21.2
TB,9/10/97,0,22.3
TB,9/24/97,0,25
TB,10/8/97,0,-0.4
TB,10/21/97,0,4.2
TB,11/6/97,0,0.7
TB,1/19/98,0,2.6
TB,2/18/98,0,2.2
TB,3/16/98,0,74.3
TB,5/6/98,0,6.4
TB,5/20/98,0,5
TB,6/2/98,0,5.7
TB,6/17/98,0,4.5
TB,7/1/98,0,10.1
TB,7/14/98,0,4
TB,7/27/98,0,15.1
TB,8/10/98,0,3.9
TB,8/27/98,0,4.2
TB,9/10/98,0,69.2
TB,9/23/98,0,90.4
TB,10/6/98,0,108.4
TB,10/19/98,0,17.5
TB,11/12/98,0,15.7
TB,1/22/99,0,3.1
TB,2/24/99,0,0.5
TB,3/23/99,0,13.8
TB,5/6/99,0,55.1
TB,5/18/99,0,20.3
TB,6/3/99,0,5.9
