lakeid,sampledate,wtemp,o2,o2sat,cond,frlight,chlor.surf,chlor.int,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,sampledate.y,avsnow,totice,whiteice,blueice,iceduration,season,bv.datePlus1.x,bv.dateMinus1.x
TB,10/18/82,8.57,3.51,33.22,NA,0.09,25.7,15.58,26.1,3.81,NA,NA,NA,NA,NA,NA,1.45,0,168.81,NA,NA,NA,NA,930.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,11/9/82,4.13,4.25,34.52,24,0.09,19.2,11.59,4.24,4.39,NA,-32.97,NA,NA,NA,NA,1.73,0,129.88,NA,NA,4.09,NA,1008.34,NA,NA,NA,0.33,3.15,1.35,0.38,0.21,0.6,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,11/30/82,3.03,4.92,38.35,26.71,NA,39.1,13.22,1.96,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/30/82,0.5,11,0,11,158,1,12/1/82,11/29/82
TB,1/10/83,3.03,3.73,28.63,NA,NA,14.6,10.26,7.63,4.5,NA,NA,NA,NA,NA,NA,NA,0.51,227.7,NA,NA,NA,NA,1052.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/10/83,27.9,17,8,9,156,1,1/11/83,1/9/83
TB,2/22/83,2.87,2.34,17.72,22.37,NA,3.5,7.31,5.44,4.64,NA,-73.97,NA,NA,NA,NA,15.15,0.77,264.49,NA,NA,17.32,NA,1164.87,NA,NA,NA,0.28,2.77,1.32,0.43,0.18,0.73,NA,NA,2/22/83,0.5,31,15,16,156,1,2/23/83,2/21/83
TB,3/24/83,2.8,2.16,16.27,26,NA,85.4,13.71,3.91,4.65,NA,NA,NA,NA,NA,NA,4.29,NA,276.99,NA,NA,NA,NA,1507.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/24/83,10.1,30,8,22,156,1,3/25/83,3/23/83
TB,5/9/83,6.82,3.59,33.96,22.31,0.1,4.8,9.5,2.64,4.57,NA,-14.33,NA,NA,NA,NA,1.66,NA,127.35,NA,NA,9.57,NA,348.58,NA,NA,NA,0.26,2.66,1.26,0.39,0.15,0.61,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,5/24/83,7,2.44,24.12,23.87,NA,13.2,7.97,2.38,4.48,NA,NA,NA,NA,NA,NA,0,NA,163.88,NA,NA,NA,NA,791.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,6/9/83,8.8,2.47,26.68,23.23,0.12,6,7.01,2.31,4.59,NA,NA,NA,NA,NA,NA,0.79,NA,176.79,NA,NA,NA,NA,894.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,6/23/83,9.51,1.28,15.45,24.56,0.11,5.1,16.26,7.66,4.51,NA,NA,NA,NA,NA,NA,0.36,NA,11.51,NA,NA,NA,NA,910.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,7/5/83,10.72,2.35,27.19,26,0.1,3.1,26.43,3,4.5,NA,NA,NA,NA,NA,NA,1.37,NA,12.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,7/19/83,11.86,2.38,29.69,20.67,0.1,2,12.95,4.07,4.51,NA,NA,NA,NA,NA,NA,2.1,NA,0,NA,NA,NA,NA,1431.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
